Date,ID,Sector,Country,Coupon,Market_Value,Market_Value_BOM,OAS,Modified_Duration,Index_Rating,Excess_Return_MTD,Total_Return_MTD
4/1/2020,B222,TECH,Spain,2.375,753381.0704,753488.7675,301.317,3.499,BA1   ,0.0816,-0.0234
4/1/2020,B223,IND,United States,4.25,306877.4419,306139.9376,728.063,3.718,B1    ,0.3267,0.2318
4/1/2020,B224,CONS,United States,3.5,650368.4806,654943.08,1546.89,3.704,B3    ,-0.6114,-0.7075
4/1/2020,B225,FIN,United Kingdom,7.25,179102.3125,178732.7852,387.86,1.36,BA1   ,-0.4404,0.2027
4/1/2020,B226,FIN,United Kingdom,5.125,314107.204,313019.5407,886.047,3.809,BA3   ,-0.3986,0.3434
4/1/2020,B227,E&U,Italy,3.75,469027.2399,467953.28,709.211,3.11,BA1   ,0.3322,0.2204
4/1/2020,B228,IND,United States,2.625,566497.1077,566947.752,464.593,4.095,BA2   ,0.0031,-0.0886
4/1/2020,B229,CONS,Germany,3.75,578978.3693,580880.0025,936.791,5.336,BA1   ,-0.2473,-0.3364
4/1/2020,B230,TECH,Spain,3.75,977078.335,976306.58,462.435,1.949,BA1   ,0.1297,0.0699
4/1/2020,B231,IND,United States,3.75,413390.0347,412810.5015,653.857,4.024,B1    ,0.2232,0.1313
4/1/2020,B232,IND,United States,4.125,168705.8391,169629.9368,2728.17,1.288,CAA1  ,-0.5177,-0.5538
4/1/2020,B233,CONS,United States,3.5,616685.0007,617418.0563,465.232,3.095,BA3   ,-0.021,-0.1278
4/1/2020,B234,CONS,United States,4,391009.8205,392258,598.286,4.971,B2    ,-0.2278,-0.3273
4/1/2020,B235,TECH,Netherlands,4.25,701337.5644,701065.7735,441.202,3.895,B1    ,0.122,0.0297
